gene_id	short_gene_id	APA_change	pvalue	APA_type	chrom	strand	gene_name	number_of_PAS	PAS_coordinates	PAS_read_counts	PAS_PAUs	PAUs_control	PAUs_experimental	PAU_changes	P_adj	APA_trend
ENSG00000132376.20	ENSG00000132376	0.124561403508772	0.187594341934763	Last_exon_tandem_APA	chr17	-	INPP5K	4	1494576,1495607,1508134,1495559	105,37,4,3	67.74,23.87,2.58,1.94	63.33,26.67,5,1.67	70.53,22.11,1.05,2.11	7.2,-4.56,-3.95,0.44	0.314486118306805	no change
ENSG00000116761.12	ENSG00000116761	0.106442577030812	0.381024916765596	Last_exon_tandem_APA	chr1	+	CTH	4	70439510,70439570,70440114,70442772	73,41,4,4	57.03,32.03,3.12,3.12	57.14,27.27,2.6,3.9	45.1,29.41,3.92,1.96	-12.04,2.14,1.32,-1.94	0.486611497070863	no change
ENSG00000123575.9	ENSG00000123575	0.45995670995671	0	Last_exon_tandem_APA	chrX	+	FAM199X	2	104195896,104191446	329,205	58.75,36.61	34.13,57.94	78.25,17.86	44.12,-40.08	0	longer
ENSG00000168824.15	ENSG00000168824	0.26545544432085	2.33039132435664e-09	Last_exon_tandem_APA	chr4	+	NSG1	7	4419058,4417734,4418690,4418546,4417598,4417520,4418601	894,351,179,83,48,25,19	51.95,20.4,10.4,4.82,2.79,1.45,1.1	30.97,31.61,7.1,8.39,7.1,5.81,0.65	53.51,18.14,10.98,5.04,3,1.66,1.79	22.54,-13.47,3.88,-3.35,-4.1,-4.15,1.14	6.31134444252881e-08	longer
ENSG00000074319.13	ENSG00000074319	0.0457280078312209	0.406405010295828	Mixed_APA	chr11	-	TSG101	3	18480310,18468823,18480395	872,16,11	95.72,1.76,1.21	91.12,0.57,1.72	93.95,2.31,0.89	2.83,1.74,-0.83	0.505143465145325	no change
ENSG00000168785.8	ENSG00000168785	0.124858665805201	0.133888921891033	Last_exon_tandem_APA	chr4	-	TSPAN5	3	98470366,98472333,98471284	355,14,6	92.45,3.65,1.56	89.02,1.22,6.1	93.05,4.3,0.33	4.03,3.08,-5.77	0.253734038046208	no change
ENSG00000170632.14	ENSG00000170632	0.046229632436529	0.581520725762754	Last_exon_tandem_APA	chr7	+	ARMC10	5	103099756,103098680,103098916,103098752,103099186	226,177,66,26,19	41.77,32.72,12.2,4.81,3.51	43.2,31.07,11.24,5.92,3.55	38.92,33.5,13.3,2.96,3.45	-4.28,2.43,2.06,-2.96,-0.1	0.630950688586812	no change
ENSG00000214194.9	ENSG00000214194	0.0635191667378126	0.314690587889791	Last_exon_tandem_APA	chr7	-	SMIM30	2	113116722,113117283	635,7	97.09,1.07	96.61,1.36	95.28,0.47	-1.33,-0.89	0.434470567102685	no change
ENSG00000125901.6	ENSG00000125901	0.040094215830359	0.447244687440857	Last_exon_tandem_APA	chr20	+	MRPS26	2	3048250,3047961	1194,16	98.03,1.31	95.96,1.15	96.02,1.7	0.06,0.55	0.53392875328738	no change
ENSG00000177042.16	ENSG00000177042	0.154630039875942	0.0427900046863334	Mixed_APA	chr11	+	TMEM80	2	704123,696451	185,5	94.39,2.55	85.14,2.7	95.9,2.46	10.76,-0.24	0.117901791847004	no change
ENSG00000105063.19	ENSG00000105063	-0.0559272889483662	0.360627258695711	Last_exon_tandem_APA	chr19	-	PPP6R1	3	55229778,55230286,55226637	618,19,9	93.64,2.88,1.36	93.88,2.72,1.02	92.9,2.73,1.64	-0.98,0.01,0.62	0.472110081612264	no change
ENSG00000116198.14	ENSG00000116198	0.400837457175485	1.17501105417147e-06	Last_exon_tandem_APA	chr1	-	CEP104	6	3814786,3812085,3841814,3816148,3813967,3812157	76,29,10,7,4,3	52.41,20,6.9,4.83,2.76,2.07	61.97,8.45,8.45,8.45,0,0	37.84,29.73,5.41,1.35,5.41,4.05	-24.13,21.28,-3.04,-7.1,5.41,4.05	1.7682147953995e-05	longer
ENSG00000133028.12	ENSG00000133028	0.0872579280131428	0.126151482068789	Last_exon_tandem_APA	chr17	-	SCO1	6	10680336,10672473,10680694,10675503,10676781,10679732	361,104,72,10,9,9	61.08,17.6,12.18,1.69,1.52,1.52	59.89,15.3,13.19,1.58,1.32,1.58	60.38,19.81,10.38,1.89,1.89,0.47	0.49,4.51,-2.81,0.31,0.57,-1.11	0.245308056698807	no change
ENSG00000205268.11	ENSG00000205268	0.110307072741002	0.0470188684885141	Last_exon_tandem_APA	chr8	-	PDE7A	3	65717682,65714333,65718363	436,23,20	86.17,4.55,3.95	84.31,3.28,4.38	85.34,6.03,3.45	1.03,2.75,-0.93	0.126457634544066	no change
ENSG00000124493.14	ENSG00000124493	0.0841013824884793	0.413135366957476	Last_exon_tandem_APA	chr6	-	GRM4	2	34021850,34022129	131,9	91.61,6.29	91.96,6.25	90.32,6.45	-1.64,0.2	0.509637445819098	no change
ENSG00000158863.22	ENSG00000158863	0.103030303030303	0.329903029314738	Last_exon_tandem_APA	chr8	+	FHIP2B	2	22104380,22104751	128,7	89.51,4.9	87.88,6.06	90,4.55	2.12,-1.51	0.446368570260611	no change
ENSG00000110721.12	ENSG00000110721	0.0880228274218017	0.162367146254371	Last_exon_tandem_APA	chr11	-	CHKA	2	68052858,68053814	424,42	89.83,8.9	83.46,12.2	90.37,4.13	6.91,-8.07	0.287174125224664	no change
ENSG00000213853.10	ENSG00000213853	0.222034534534535	0.033608502431021	Last_exon_tandem_APA	chr16	-	EMP2	4	10532740,10529073,10528576,10532814	72,47,44,3	39.78,25.97,24.31,1.66	33.33,22.92,23.61,0.69	18.92,37.84,27.03,2.7	-14.41,14.92,3.42,2.01	0.0991941336099568	no change
ENSG00000132600.18	ENSG00000132600	0.0480797736154158	0.641191888744124	Mixed_APA	chr16	+	PRMT7	4	68357259,68358584,68357349,68354557	353,9,5,4	91.45,2.33,1.3,1.04	90.24,1.95,0.49,0.98	87.85,2.76,2.21,1.1	-2.39,0.81,1.72,0.12	0.675495879982249	no change
ENSG00000123552.18	ENSG00000123552	0.380333951762523	8.25830643097381e-05	Mixed_APA	chr6	-	USP45	8	99432438,99482260,99432324,99435196,99462593,99481502,99458958,99482708	35,29,19,12,8,4,3,3	27.78,23.02,15.08,9.52,6.35,3.17,2.38,2.38	24.68,31.17,9.09,6.49,10.39,3.9,0,3.9	32.65,10.2,24.49,14.29,0,2.04,6.12,0	7.97,-20.97,15.4,7.8,-10.39,-1.86,6.12,-3.9	0.000784757123255895	longer
ENSG00000168283.14	ENSG00000168283	-0.207936507936508	0.0734872096250881	Last_exon_tandem_APA	chr10	+	BMI1	6	22331068,22331259,22331484,22331297,22331125,22331629	66,40,29,9,5,3	42.31,25.64,18.59,5.77,3.21,1.92	26.67,43.33,16.67,10,0,0	46.03,21.43,19.05,4.76,3.97,2.38	19.36,-21.9,2.38,-5.24,3.97,2.38	0.171279823728611	no change
ENSG00000186866.17	ENSG00000186866	0.085632183908046	0.386356047968854	Mixed_APA	chr21	-	POFUT2	3	45263934,45263018,45285697	305,6,5	94.72,1.86,1.55	93.33,2.22,1.11	93.97,1.72,1.72	0.64,-0.5,0.61	0.490182974823011	no change
ENSG00000180357.10	ENSG00000180357	0.0796621043627032	0.296921700924237	Last_exon_tandem_APA	chr15	+	ZNF609	2	64685267,64686068	267,107	68.29,27.37	64.67,26.35	65.62,25.89	0.95,-0.46	0.418480561725483	no change
ENSG00000162458.13	ENSG00000162458	0.210649807729909	7.48655705505863e-05	Last_exon_tandem_APA	chr1	+	FBLIM1	3	15786589,15785359,15786480	322,88,10	74.88,20.47,2.33	65.07,28.82,3.06	85.57,10.95,1.49	20.5,-17.87,-1.57	0.000719781270710177	longer
ENSG00000025796.14	ENSG00000025796	0.155523051390959	2.63634540242919e-06	Last_exon_tandem_APA	chr6	-	SEC63	4	107870765,107871435,107867755,107870311	660,158,121,70	61.62,14.75,11.3,6.54	65.3,17.86,3.7,8.01	59.25,12.67,17.98,6.16	-6.05,-5.19,14.28,-1.85	3.72440695077869e-05	longer
ENSG00000104047.15	ENSG00000104047	0.210894035450899	0.0125848491352466	Last_exon_tandem_APA	chr15	+	DTWD1	6	49643657,49645136,49656232,49636336,49643482,49654444	121,23,10,10,9,4	63.68,12.11,5.26,5.26,4.74,2.11	68.7,9.92,0.76,5.34,3.82,2.29	50.85,13.56,15.25,5.08,6.78,1.69	-17.85,3.64,14.49,-0.26,2.96,-0.6	0.0482946939735966	longer
ENSG00000139624.14	ENSG00000139624	0.102501938536135	0.0433224503873233	Last_exon_tandem_APA	chr12	-	CERS5	3	50129797,50130349,50129286	642,23,11	94.13,3.37,1.61	83.26,2.71,0.45	89.59,1.95,2.17	6.33,-0.76,1.72	0.118823142650266	no change
ENSG00000064102.15	ENSG00000064102	0.13904425473457	0.0395602815560071	Last_exon_tandem_APA	chr12	-	INTS13	2	26905180,26905056	350,8	95.63,2.19	85.65,2.11	87.6,2.33	1.95,0.22	0.111693765407312	no change
ENSG00000065183.16	ENSG00000065183	0.194129554655871	0.00072458437293077	Last_exon_tandem_APA	chr1	+	WDR3	6	117960060,117960424,117959758,117960886,117963867,117966543	266,46,36,29,11,10	64.56,11.17,8.74,7.04,2.67,2.43	68.46,10.77,9.62,5.38,1.92,0	55.92,11.84,7.24,9.21,3.95,6.58	-12.54,1.07,-2.38,3.83,2.03,6.58	0.00495858157566844	longer
ENSG00000171204.13	ENSG00000171204	-0.060151123483794	0.227562729611734	Last_exon_tandem_APA	chr11	+	TMEM126B	2	85636507,85636417	547,300	61.81,33.9	59.22,31.56	53.27,38.32	-5.95,6.76	0.354962726214734	no change
ENSG00000085274.16	ENSG00000085274	0.116447465642087	0.231321997062617	Last_exon_tandem_APA	chr3	+	MYNN	6	169786826,169787550,169787169,169788500,169789178,169789098	86,29,16,9,9,7	51.19,17.26,9.52,5.36,5.36,4.17	43.56,15.84,9.9,2.97,6.93,4.95	40.3,16.42,8.96,5.97,2.99,2.99	-3.26,0.58,-0.94,3,-3.94,-1.96	0.358043799719039	no change
ENSG00000126773.13	ENSG00000126773	0.182364407751405	0.0017774346707834	Mixed_APA	chr14	+	PCNX4	7	60134812,60134691,60143393,60111157,60126138,60128718,60133921	346,19,19,18,12,7,5	75.55,4.15,4.15,3.93,2.62,1.53,1.09	71.85,5.93,0,4.44,3.7,2.96,0.74	74.3,3.41,5.88,3.72,2.17,0.62,1.24	2.45,-2.52,5.88,-0.72,-1.53,-2.34,0.5	0.0102270681600894	longer
ENSG00000160214.13	ENSG00000160214	-0.0660064566791728	0.419615953594928	Last_exon_tandem_APA	chr21	+	RRP1	3	43804099,43805757,43804227	438,7,6	95.22,1.52,1.3	93.95,1.59,0.64	93.15,1.37,2.74	-0.8,-0.22,2.1	0.514318164859814	no change
ENSG00000060642.12	ENSG00000060642	-0.136111111111111	0.511643619879543	Last_exon_tandem_APA	chr1	+	PIGV	4	26798297,26798403,26797919,26798264	24,21,7,3	41.38,36.21,12.07,5.17	42.5,35,10,5	38.89,38.89,16.67,5.56	-3.61,3.89,6.67,0.56	0.58122015190542	no change
ENSG00000078674.20	ENSG00000078674	0.210778834526261	3.67055347227918e-08	Last_exon_tandem_APA	chr8	+	PCM1	4	18027758,18029948,18027972,17989457	461,166,111,18	58.06,20.91,13.98,2.27	65.96,8.81,17.33,0.91	51.61,29.25,11.61,3.23	-14.35,20.44,-5.72,2.32	7.52421655969028e-07	longer
ENSG00000183044.12	ENSG00000183044	0.145121951219512	0.399831150132934	Last_exon_tandem_APA	chr16	+	ABAT	3	8784570,8781531,8715773	41,8,7	67.21,13.11,11.48	65,20,5	68.29,9.76,14.63	3.29,-10.24,9.63	0.500285927406132	no change
ENSG00000083720.13	ENSG00000083720	0.219213320830271	2.34157216250086e-06	Last_exon_tandem_APA	chr5	-	OXCT1	2	41730064,41731534	493,81	84.27,13.85	70.14,26.07	90.64,6.95	20.5,-19.12	3.32887960353005e-05	longer
ENSG00000111481.10	ENSG00000111481	0.16766960889171	1.8906856080747e-09	Last_exon_tandem_APA	chr12	+	COPZ1	2	54351846,54350877	855,567	59.83,39.68	51.05,46.27	66.85,30.64	15.8,-15.63	5.21910422916082e-08	longer
ENSG00000162490.7	ENSG00000162490	0.255138339920949	4.3877855981922e-07	Last_exon_tandem_APA	chr1	+	DRAXIN	2	11725857,11720938	321,89	71.33,19.78	56.52,27.39	82.27,7.73	25.75,-19.66	7.27176475103712e-06	longer
ENSG00000073803.14	ENSG00000073803	0.377326424870466	4.15087741956199e-10	Mixed_APA	chr3	+	MAP3K13	7	185293079,185293015,185489094,185485172,185291812,185484951,185292624	123,85,43,25,23,6,4	38.68,26.73,13.52,7.86,7.23,1.89,1.26	44.8,38.4,0.8,1.6,10.4,0,1.6	34.72,19.17,21.76,11.4,4.15,2.59,1.04	-10.08,-19.23,20.96,9.8,-6.25,2.59,-0.56	1.35339659053038e-08	longer
ENSG00000204611.7	ENSG00000204611	-0.18455098934551	0.110522160654079	Last_exon_tandem_APA	chr19	-	ZNF616	4	52113090,52114399,52112111,52113903	65,31,5,5	59.63,28.44,4.59,4.59	68.49,26.03,2.74,2.74	41.67,33.33,8.33,8.33	-26.82,7.3,5.59,5.59	0.224951657869374	no change
ENSG00000092758.18	ENSG00000092758	-0.116402116402116	0.409686941589636	Last_exon_tandem_APA	chr20	+	COL9A3	5	62841093,62841157,62840952,62841049,62841295	89,73,3,3,3	51.15,41.95,1.72,1.72,1.72	51.7,40.82,2.04,1.36,2.04	44.44,48.15,0,3.7,0	-7.26,7.33,-2.04,2.34,-2.04	0.507199261861085	no change
ENSG00000089091.17	ENSG00000089091	0.197802197802198	0.0866845336585502	Mixed_APA	chr20	-	DZANK1	2	18383366,18398343	79,5	90.8,5.75	96.15,1.92	80,11.43	-16.15,9.51	0.191748284162341	no change
ENSG00000085831.16	ENSG00000085831	-0.2625	0.227763177426486	Last_exon_tandem_APA	chr1	-	TTC39A	3	51287257,51287809,51287141	16,14,3	44.44,38.89,8.33	25,30,10	12.5,50,6.25	-12.5,20,-3.75	0.355100629532389	no change
ENSG00000104221.13	ENSG00000104221	0.125030317729808	0.134482247813728	Last_exon_tandem_APA	chr8	-	BRF2	4	37843881,37843735,37843537,37843700	228,12,3,3	88.72,4.67,1.17,1.17	73.39,4.03,0,0.81	69.17,5.26,1.5,1.5	-4.22,1.23,1.5,0.69	0.254458735928456	no change
ENSG00000108592.17	ENSG00000108592	0.062595818815331	0.408909450945525	Last_exon_tandem_APA	chr17	-	FTSJ3	2	63819432,63819179	483,10	96.02,1.99	92.99,1.22	92,3.43	-0.99,2.21	0.506910717525977	no change
ENSG00000183155.5	ENSG00000183155	0.139300847457627	0.0498145256903397	Last_exon_tandem_APA	chr1	-	RABIF	8	202878956,202880456,202880924,202880823,202876556,202879745,202880541,202880583	92,84,72,67,5,5,4,4	26.9,24.56,21.05,19.59,1.46,1.46,1.17,1.17	26.27,18.64,20.34,16.95,0,2.54,0,1.69	27.23,25.89,17.86,9.38,2.23,0.89,1.79,0.89	0.96,7.25,-2.48,-7.57,2.23,-1.65,1.79,-0.8	0.131593724378375	no change
ENSG00000264772.6	ENSG00000264772	-0.196296296296296	0.362993829508912	Mixed_APA	chr17	+	ENSG00000264772	3	7579007,7578627,7582104	27,7,3	72.97,18.92,8.11	80,10,10	70.37,22.22,7.41	-9.63,12.22,-2.59	0.473692208780553	no change
ENSG00000140525.20	ENSG00000140525	-0.064730231230374	0.467280818484624	Last_exon_tandem_APA	chr15	+	FANCI	5	89317131,89316483,89268631,89317039,89264649	223,186,14,13,6	48.16,40.17,3.02,2.81,1.3	48.97,39.23,2.95,2.95,0.88	45.97,37.1,3.23,2.42,2.42	-3,-2.13,0.28,-0.53,1.54	0.549106827571576	no change
ENSG00000141956.14	ENSG00000141956	0.16866028708134	0.319000154998494	Mixed_APA	chr21	-	PRDM15	2	41798224,41799120	50,6	79.37,9.52	75,11.36	89.47,5.26	14.47,-6.1	0.437737480151182	no change
ENSG00000148175.13	ENSG00000148175	-0.147741147741148	0.181104080866935	Last_exon_tandem_APA	chr9	-	STOM	3	121339076,121340075,121340230	108,37,3	71.05,24.34,1.97	68.38,24.79,1.71	74.29,20,2.86	5.91,-4.79,1.15	0.308140598170079	no change
ENSG00000135457.11	ENSG00000135457	0.0744788504351346	0.339552475555501	Last_exon_tandem_APA	chr12	-	TFCP2	3	51093761,51094836,51094040	203,157,33	50,38.67,8.13	47.95,33.2,6.15	51.23,33.95,5.56	3.28,0.75,-0.59	0.453761913799221	no change
ENSG00000204120.16	ENSG00000204120	0.0766866305415597	0.354598551027424	Last_exon_tandem_APA	chr2	+	GIGYF2	8	232858612,232857832,232860577,232858484,232736545,232738675,232736048,232860605	217,74,12,8,7,7,5,4	60.61,20.67,3.35,2.23,1.96,1.96,1.4,1.12	56.05,27.39,3.82,1.91,2.55,0.64,1.91,1.27	62.19,14.93,2.99,2.49,1.49,2.99,1,1	6.14,-12.46,-0.83,0.58,-1.06,2.35,-0.91,-0.27	0.466797915348743	no change
ENSG00000144029.14	ENSG00000144029	0.150227357834483	0.00103762386375417	Last_exon_tandem_APA	chr2	-	MRPS5	2	95087206,95086349	583,11	94.95,1.79	94.63,1.79	93.19,1.79	-1.44,0	0.00663180195307084	longer
ENSG00000161533.12	ENSG00000161533	0.216523341523342	0.0133499328620796	Last_exon_tandem_APA	chr17	-	ACOX1	7	75945575,75941506,75942877,75946576,75978062,75946611,75946514	44,41,39,11,8,5,3	27.16,25.31,24.07,6.79,4.94,3.09,1.85	28.41,17.05,26.14,9.09,6.82,3.41,1.14	25.68,35.14,21.62,4.05,2.7,0,2.7	-2.73,18.09,-4.52,-5.04,-4.12,-3.41,1.56	0.0506049055711266	no change
ENSG00000166170.12	ENSG00000166170	0.101483216237315	0.278949551276495	Last_exon_tandem_APA	chr14	-	BAG5	4	103557148,103556546,103559624,103556966	181,38,12,10	72.98,15.32,4.84,4.03	53.17,11.11,5.56,3.97	47.54,19.67,4.1,4.1	-5.63,8.56,-1.46,0.13	0.40356399945779	no change
ENSG00000173064.14	ENSG00000173064	0.200681560015146	0.0676986333393211	Mixed_APA	chr12	-	HECTD4	4	112160321,112160195,112170876,112170739	174,107,9,8	55.06,33.86,2.85,2.53	42.11,34.21,10.53,5.26	56.83,33.81,1.8,2.16	14.72,-0.4,-8.73,-3.1	0.162026596122487	no change
ENSG00000103353.16	ENSG00000103353	0.0484098556387713	0.512857851188272	Last_exon_tandem_APA	chr16	+	UBFD1	2	23574389,23570860	443,121	76.12,20.79	72.37,21.92	76.71,18.07	4.34,-3.85	0.582036134483023	no change
ENSG00000278768.4	ENSG00000278768	0.285714285714286	0.100470065555963	Last_exon_tandem_APA	chr11	+	BACE1-AS	2	117293571,117293480	30,9	71.43,21.43	57.14,33.33	85.71,9.52	28.57,-23.81	0.211344114057529	no change
ENSG00000037897.17	ENSG00000037897	0.0798319327731092	0.592717846027705	Last_exon_tandem_APA	chr12	-	METTL1	2	57768635,57768470	230,25	88.12,9.58	42.86,9.05	39.22,11.76	-3.64,2.71	0.638771739156108	no change
ENSG00000177628.16	ENSG00000177628	0.0337662337662337	0.887171783901396	Last_exon_tandem_APA	chr1	-	GBA1	3	155234451,155234931,155231270	210,13,12	86.78,5.37,4.96	85.71,3.9,3.9	84.85,6.06,5.45	-0.86,2.16,1.55	0.8890488734219	no change
ENSG00000108848.16	ENSG00000108848	0.0842346902529127	0.00903210360153828	Last_exon_tandem_APA	chr17	+	LUC7L3	2	50752644,50756219	1200,122	88.37,8.98	43.92,6.94	45.78,10.36	1.86,3.42	0.0376993971754374	no change
ENSG00000135097.7	ENSG00000135097	0.164736164736165	0.000368033751732777	Last_exon_tandem_APA	chr12	-	MSI1	2	120341329,120341624	416,163	70.27,27.53	60.06,34.23	74.9,18.15	14.84,-16.08	0.00279488247412933	longer
ENSG00000246560.3	ENSG00000246560	0.356643356643357	0.0706629228080457	Last_exon_tandem_APA	chr4	+	UBE2D3-AS1	2	102844099,102843802	18,15	51.43,42.86	45.45,50	53.85,30.77	8.4,-19.23	0.166945561131426	no change
ENSG00000078699.22	ENSG00000078699	0.218053173241852	0.0216746543791983	Last_exon_tandem_APA	chr20	+	CBFA2T2	7	33650030,33645290,33645537,33645793,33649053,33526555,33649978	87,18,13,5,4,3,3	61.7,12.77,9.22,3.55,2.84,2.13,2.13	52.83,18.87,11.32,5.66,1.89,1.89,1.89	67.05,9.09,7.95,1.14,1.14,2.27,2.27	14.22,-9.78,-3.37,-4.52,-0.75,0.38,0.38	0.0726918245305749	no change
ENSG00000121964.15	ENSG00000121964	0.133333333333333	0.123657073947852	Last_exon_tandem_APA	chr2	-	GTDC1	5	143946030,144005752,143938067,144177887,143943982	119,27,6,4,3	66.85,15.17,3.37,2.25,1.69	64,16,1,2,2	70.51,11.54,6.41,2.56,1.28	6.51,-4.46,5.41,0.56,-0.72	0.241963472158452	no change
ENSG00000171793.17	ENSG00000171793	0.0741346476979948	0.0776667036549817	Last_exon_tandem_APA	chr1	+	CTPS1	4	41012563,41011776,41010258,41012033	772,128,21,20	80.42,13.33,2.19,2.08	74.87,6.73,2.48,2.48	81.77,3.54,1.77,1.52	6.9,-3.19,-0.71,-0.96	0.177888181774289	no change
ENSG00000153827.15	ENSG00000153827	0.0668246342470816	0.199241497210904	Last_exon_tandem_APA	chr2	-	TRIP12	3	229767211,229763836,229766381	521,182,36	68.19,23.82,4.71	70.65,19.8,4.1	66.45,25.48,4.67	-4.2,5.68,0.57	0.326113902037272	no change
ENSG00000033011.14	ENSG00000033011	0.172066137921764	0.00149576658468087	Last_exon_tandem_APA	chr16	+	ALG1	5	5085394,5085045,5085587,5087379,5085533	197,134,90,36,11	41.56,28.27,18.99,7.59,2.32	46.18,23.26,15.95,5.32,1.66	29.48,20.81,24.28,11.56,3.47	-16.7,-2.45,8.33,6.24,1.81	0.00896762391441915	longer
ENSG00000090054.16	ENSG00000090054	-0.114049878440907	0.0157185329130619	Mixed_APA	chr9	-	SPTLC1	5	92031146,92031346,92079060,92031964,92107175	491,43,43,31,10	76.84,6.73,6.73,4.85,1.56	67.85,3.54,5.14,4.18,1.61	58.54,9.76,7.62,5.49,1.52	-9.31,6.22,2.48,1.31,-0.09	0.0575004380831887	no change
ENSG00000167695.15	ENSG00000167695	0.15651702156517	0.0536630468989946	Last_exon_tandem_APA	chr17	+	TLCD3A	4	742835,742968,741714,743011	132,65,36,7	53.44,26.32,14.57,2.83	21.23,22.6,18.49,2.05	18.81,31.68,8.91,3.96	-2.42,9.08,-9.58,1.91	0.13837070459715	no change
ENSG00000143157.12	ENSG00000143157	0.115369799691834	0.0362573746141776	Last_exon_tandem_APA	chr1	+	POGK	3	166854471,166854838,166853271	465,8,6	93,1.6,1.2	89.83,0.42,2.54	94.7,2.65,0	4.87,2.23,-2.54	0.105048330377651	no change
ENSG00000116852.15	ENSG00000116852	-0.167477348593228	0.120542003728946	Mixed_APA	chr1	-	KIF21B	2	200969389,201005080	272,3	97.84,1.08	97.78,0	97,1.29	-0.78,1.29	0.238146540407636	no change
ENSG00000121879.6	ENSG00000121879	0.308613659531091	0.00382866850394242	Last_exon_tandem_APA	chr3	+	PIK3CA	11	179240093,179237493,179234986,179234712,179234817,179235319,179238353,179237406,179239392,179238925,179239629	42,23,17,10,9,7,7,5,5,3,3	28.97,15.86,11.72,6.9,6.21,4.83,4.83,3.45,3.45,2.07,2.07	22.22,8.33,19.44,11.11,5.56,5.56,2.78,8.33,2.78,0,0	31.19,18.35,9.17,5.5,2.75,4.59,5.5,1.83,3.67,2.75,2.75	8.97,10.02,-10.27,-5.61,-2.81,-0.97,2.72,-6.5,0.89,2.75,2.75	0.0190987737621828	longer
ENSG00000137074.20	ENSG00000137074	-0.12014511310286	0.0918724505500029	Mixed_APA	chr9	-	APTX	5	32972615,32973375,32972758,32943632,32973417	144,116,51,6,4	42.35,34.12,15,1.76,1.18	46.46,30.81,13.64,2.53,1.01	35.92,38.73,16.9,0.7,0	-10.54,7.92,3.26,-1.83,-1.01	0.199123358020105	no change
ENSG00000166557.14	ENSG00000166557	0.0309973045822102	0.666485379232971	Mixed_APA	chr15	+	TMED3	2	79322840,79423502	831,17	96.52,1.97	91.91,1.89	94.69,2.04	2.78,0.15	0.695708378113619	no change
ENSG00000182903.16	ENSG00000182903	0.135692307692308	0.0909707803551072	Mixed_APA	chr4	-	ZNF721	7	439987,440037,456045,444236,427013,425423,469654	119,23,14,12,11,4,4	58.62,11.33,6.9,5.91,5.42,1.97,1.97	53.6,13.6,5.6,7.2,4.8,2.4,3.2	66.67,7.69,8.97,3.85,5.13,1.28,0	13.07,-5.91,3.37,-3.35,0.33,-1.12,-3.2	0.197931830854838	no change
ENSG00000166145.15	ENSG00000166145	0.0938528138528139	0.49978844707487	Last_exon_tandem_APA	chr15	+	SPINT1	2	40857655,40858191	507,15	94.59,2.8	91.62,2.86	100,0	8.38,-2.86	0.572723320415988	no change
ENSG00000113761.12	ENSG00000113761	0.139870490286772	0.132156021941167	Mixed_APA	chr5	+	ZNF346	4	177065975,177067985,177081191,177046823	175,11,4,3	83.73,5.26,1.91,1.44	78.26,4.35,0.87,0.87	82.98,6.38,2.13,2.13	4.72,2.03,1.26,1.26	0.252001913794314	no change
ENSG00000162927.14	ENSG00000162927	-0.2875	0.12799859670779	Last_exon_tandem_APA	chr2	-	PUS10	3	61009847,60940412,60940222	16,9,3	44.44,25,8.33	31.25,31.25,6.25	55,20,10	23.75,-11.25,3.75	0.247127091133535	no change
ENSG00000171067.11	ENSG00000171067	0.133333333333333	0.0102821460777374	Mixed_APA	chr11	-	C11orf24	3	68261462,68261337,68267116	335,144,32	65.05,27.96,6.21	61.54,20.77,8.46	56.47,33.33,2.75	-5.07,12.56,-5.71	0.0415543095853582	longer
ENSG00000164823.11	ENSG00000164823	0.245290745290745	0.0400859028886499	Last_exon_tandem_APA	chr8	+	OSGIN2	10	89927348,89926843,89926527,89925588,89926400,89927872,89921306,89925104,89925800,89925395	18,17,13,10,9,9,7,5,4,3	16.82,15.89,12.15,9.35,8.41,8.41,6.54,4.67,3.74,2.8	13.51,16.22,6.76,10.81,5.41,5.41,6.76,6.76,4.05,4.05	24.24,15.15,6.06,6.06,15.15,15.15,6.06,0,3.03,0	10.73,-1.07,-0.7,-4.75,9.74,9.74,-0.7,-6.76,-1.02,-4.05	0.112870162733091	no change
ENSG00000139219.19	ENSG00000139219	0.139355742296919	0.524264093225858	Last_exon_tandem_APA	chr12	-	COL2A1	2	47972966,47973197	749,9	96.9,1.16	82.35,5.88	92.99,1.06	10.64,-4.82	0.589657864634358	no change
ENSG00000214087.9	ENSG00000214087	-0.0522118711738089	0.4342958179688	Mixed_APA	chr17	-	ARL16	2	81681186,81682241	597,8	97.23,1.3	91.7,1.38	93.23,1.23	1.53,-0.15	0.525792196693022	no change
ENSG00000103978.17	ENSG00000103978	0.0708212209302325	0.447158163741749	Mixed_APA	chr15	-	TMEM87A	5	42210531,42257857,42257942,42257802,42258040	299,10,6,4,4	87.17,2.92,1.75,1.17,1.17	83.59,3.12,3.12,1.56,1.56	88.37,2.79,0.93,0.93,0.93	4.78,-0.33,-2.19,-0.63,-0.63	0.53392875328738	no change
ENSG00000044446.12	ENSG00000044446	0.0944444444444443	0.473019369843234	Last_exon_tandem_APA	chrX	-	PHKA2	3	18892969,18892297,18893456	70,29,6	60.34,25,5.17	56.25,25,7.5	61.11,25,0	4.86,0,-7.5	0.552961978334537	no change
ENSG00000160058.19	ENSG00000160058	0.134870403857746	0.0406876552842167	Last_exon_tandem_APA	chr1	-	BSDC1	5	32365109,32365170,32365273,32375507,32361269	203,126,26,6,4	53.85,33.42,6.9,1.59,1.06	45.71,37.86,7.86,2.86,0.71	58.23,30.8,5.49,0.84,0.42	12.52,-7.06,-2.37,-2.02,-0.29	0.114064862898027	no change
