gene_id	chrom	strand	gene_name	PAS	D0_1 reads	D0_1 PAU	D0_1 host gene reads	D0_2 reads	D0_2 PAU	D0_2 host gene reads	D0_3 reads	D0_3 PAU	D0_3 host gene reads	D7_1 reads	D7_1 PAU	D7_1 host gene reads	D7_2 reads	D7_2 PAU	D7_2 host gene reads	D7_3 reads	D7_3 PAU	D7_3 host gene reads
ENSG00000280433.2	chr21	-	ENSG00000280433	5155774	12	31.579	38	9	47.368	19	4	17.391	23	1	7.143	14	9	27.273	33	4	21.053	19
ENSG00000280433.2	chr21	-	ENSG00000280433	5156156	8	21.053	38	6	31.579	19	8	34.783	23	1	7.143	14	5	15.152	33	2	10.526	19
ENSG00000280433.2	chr21	-	ENSG00000280433	5157002	3	7.895	38	1	5.263	19	1	4.348	23	1	7.143	14	0	0	33	0	0	19
ENSG00000280800.1	chr21	-	ENSG00000280800	8210440	3	11.538	26	0	0	8	5	27.778	18	1	20	5	2	20	10	1	14.286	7
ENSG00000280800.1	chr21	-	ENSG00000280800	8210497	5	19.231	26	0	0	8	1	5.556	18	0	0	5	2	20	10	1	14.286	7
ENSG00000280800.1	chr21	-	ENSG00000280800	8210554	1	3.846	26	0	0	8	2	11.111	18	0	0	5	1	10	10	1	14.286	7
ENSG00000280800.1	chr21	-	ENSG00000280800	8210865	6	23.077	26	3	37.5	8	3	16.667	18	0	0	5	1	10	10	2	28.571	7
ENSG00000280800.1	chr21	-	ENSG00000280800	8210928	3	11.538	26	0	0	8	2	11.111	18	1	20	5	1	10	10	0	0	7
ENSG00000281181.1	chr21	-	ENSG00000281181	8437645	2	10.526	19	0	0	6	0	0	11	0	0	6	5	41.667	12	0	0	9
ENSG00000281181.1	chr21	-	ENSG00000281181	8437778	1	5.263	19	1	16.667	6	2	18.182	11	2	33.333	6	3	25	12	1	11.111	9
ENSG00000281181.1	chr21	-	ENSG00000281181	8437907	3	15.789	19	1	16.667	6	1	9.091	11	2	33.333	6	0	0	12	2	22.222	9
ENSG00000281181.1	chr21	-	ENSG00000281181	8438050	2	10.526	19	1	16.667	6	3	27.273	11	1	16.667	6	2	16.667	12	0	0	9
ENSG00000281181.1	chr21	-	ENSG00000281181	8438110	1	5.263	19	2	33.333	6	0	0	11	0	0	6	0	0	12	3	33.333	9
